entry,format,width,height,mips,flags,kv3_version_hex,bytes
materials/blends/concrete_02_color_psd_6f50a8a.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_03_blend_psd_58154490.vtex_c,ATI1N,1024,1024,9,0,0x00000001,701240
materials/blends/concrete_03_color_psd_ef18beac.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_03_normal_psd_31b60335.vtex_c,BC7,2048,2048,10,0,0x00000001,5594532
materials/blends/concrete_coarse_01_color_psd_d095f32d.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_coarse_01_normal_psd_5ccc357b.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/concrete_coarse_02_color_psd_592eccbf.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_coarse_02_normal_psd_3bed83d7.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/concrete_coarse_04_color_psd_16cc99b8.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_coarse_04_normal_psd_a510464c.vtex_c,BC7,1024,1024,9,0,0x00000001,1400432
materials/blends/concrete_cracked_01_color_psd_49a4e1c.vtex_c,BC7,1024,1024,9,0,0x00000001,1400352
materials/blends/concrete_cracked_01_normal_psd_6fc29e19.vtex_c,BC7,1024,1024,9,0,0x00000001,1400416
materials/blends/concrete_cracked_01_normal_psd_ebd4879d.vtex_c,BC7,1024,1024,9,0,0x00000001,1400368
materials/blends/concrete_painted_worn_01_blend_psd_52715a25.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798252
materials/blends/dirt_rocks_04_blend_psd_fe225339.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798236
materials/blends/dirt_rocks_04_normal_psd_70e30d3.vtex_c,BC7,2048,2048,10,0,0x00000001,5594596
materials/blends/duct_01_color_psd_40ad6565.vtex_c,BC7,1024,2048,9,0,0x00000001,2798228
materials/blends/duct_01_normal_psd_e8c711ce.vtex_c,BC7,1024,2048,9,0,0x00000001,2798372
materials/blends/garden_dirt_01_vmat_g_tcolor_a8569d50.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/garden_dirt_01_vmat_g_tnormalroughness_c8c2bbbd.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/garden_grass_01_vmat_g_tcolor_27244245.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/garden_grass_01_vmat_g_tnormalroughness_f9b658f3.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/ground_plants_01_color_psd_9e0365ee.vtex_c,BC7,2048,2048,10,0,0x00000001,5594516
materials/blends/ground_plants_01_color_psd_ac95d917.vtex_c,BC7,2048,2048,10,0,0x00000001,5594548
materials/blends/ground_plants_01_normal_psd_402ffa90.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/blends/ground_plants_01_normal_psd_caa031c0.vtex_c,BC7,2048,2048,10,0,0x00000001,5594532
materials/blends/light_factory_01_vmat_g_tcolor_fe25656b.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/light_factory_01_vmat_g_tnormalroughness_a1e47e21.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/light_factory_02_vmat_g_tcolor_5f40281e.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/light_factory_02_vmat_g_tnormalroughness_a1e47e21.vtex_c,BC7,4,4,1,0,0x00000001,2320
materials/blends/light_lighthouse_01_vmat_g_tcolor_d080288f.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/light_lighthouse_01_vmat_g_tnormalroughness_a1e47e21.vtex_c,BC7,4,4,1,0,0x00000001,2320
materials/blends/metal_dented_01_color_psd_b909cfa9.vtex_c,BC7,2048,2048,10,0,0x00000001,5594500
materials/blends/metal_dented_01_normal_psd_65855559.vtex_c,BC7,2048,2048,10,0,0x00000001,5594580
materials/blends/metal_dented_01_normal_psd_956ceb07.vtex_c,BC7,2048,2048,10,0,0x00000001,5594596
materials/blends/metal_dented_01_normal_psd_f78be70b.vtex_c,BC7,2048,2048,10,0,0x00000001,5594644
materials/blends/metal_factory_01_vmat_g_tcolor_245e1647.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/metal_factory_01_vmat_g_tnormalroughness_6743b03d.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_02_vmat_g_tcolor_7ea86cbb.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/metal_factory_02_vmat_g_tnormalroughness_98e25b41.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_03_vmat_g_tcolor_67911da9.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/metal_factory_04_vmat_g_tcolor_7f0cc0eb.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_05_vmat_g_tcolor_9c7dd44a.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/metal_factory_05_vmat_g_tnormalroughness_b1504723.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_06_vmat_g_tcolor_9614eaf2.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_06_vmat_g_tnormalroughness_5f0ee429.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_07_vmat_g_tcolor_bd33c66b.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_08_vmat_g_tcolor_8d5f2a3a.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_09_vmat_g_tcolor_54064401.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_09_vmat_g_tnormalroughness_451591de.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_10_vmat_g_tcolor_b743498f.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_10_vmat_g_tnormalroughness_4c4c86c9.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/metal_factory_11_vmat_g_tcolor_2e4d9b59.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_12_vmat_g_tcolor_5cfaa24c.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_factory_13_vmat_g_tcolor_fc57f6a7.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_theater_01_vmat_g_tcolor_26156be1.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_theater_02_vmat_g_tcolor_a44c4abc.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/metal_theater_03_vmat_g_tcolor_6332039c.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/orange_illum_skybox_vmat_g_tcolor_b5cae935.vtex_c,BC7,4,4,1,0,0x00000001,2192
